prefix,vendor,assignment_type
A027B6,"Samsung Electronics Co.,Ltd",MA-L
103917,"Samsung Electronics Co.,Ltd",MA-L
9880EE,"Samsung Electronics Co.,Ltd",MA-L
90EEC7,"Samsung Electronics Co.,Ltd",MA-L
1029AB,"Samsung Electronics Co.,Ltd",MA-L
184ECB,"Samsung Electronics Co.,Ltd",MA-L
5C2316,Squirrels Research Labs LLC,MA-L
985949,LUXOTTICA GROUP S.P.A.,MA-L
64E172,"Shenzhen Qihoo Intelligent Technology Co.,Ltd",MA-L
C4D8F3,iZotope,MA-L
A84025,Oxide Computer Company,MA-L
60F43A,Edifier International,MA-L
FCB698,"Cambridge Industries(Group) Co.,Ltd.",MA-L
042144,"Sunitec Enterprise Co.,Ltd",MA-L
4C3329,Sweroam,MA-L
782B46,Intel Corporate,MA-L
785773,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L
AC6089,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L
843E92,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L
708CB6,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L
50464A,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L
C4A402,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L
68332C,KENSTEL NETWORKS LIMITED,MA-L
9CBD6E,"DERA Co., Ltd",MA-L
0006B3,Diagraph Corporation,MA-L
D8787F,"Ubee Interactive Co., Limited",MA-L
DC333D,"Huawei Device Co., Ltd.",MA-L
285471,"Huawei Device Co., Ltd.",MA-L
B88E82,"Huawei Device Co., Ltd.",MA-L
34E5EC,Palo Alto Networks,MA-L
0887C6,INGRAM MICRO SERVICES,MA-L
D4D2D6,FN-LINK TECHNOLOGY LIMITED,MA-L
105072,Sercomm Corporation.,MA-L
98FAA7,INNONET,MA-L
086BD1,"Shenzhen SuperElectron Technology Co.,Ltd.",MA-L
905D7C,"New H3C Technologies Co., Ltd",MA-L
3CB53D,"HUNAN GOKE MICROELECTRONICS CO.,LTD",MA-L
AC3A67,"Cisco Systems, Inc",MA-L
00B7A8,Heinzinger electronic GmbH,MA-L
34CFF6,Intel Corporate,MA-L
B8E3B1,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L
980D51,"Huawei Device Co., Ltd.",MA-L
00ADD5,"Huawei Device Co., Ltd.",MA-L
EC7949,FUJITSU LIMITED,MA-L
AC4A67,"Cisco Systems, Inc",MA-L
900A84,"Mellanox Technologies, Inc.",MA-L
70CA97,Ruckus Wireless,MA-L
345180,"TCL King Electrical Appliances (Huizhou) Co., Ltd",MA-L
6CD94C,"vivo Mobile Communication Co., Ltd.",MA-L
AC1ED0,Temic Automotive Philippines Inc.,MA-L
0088BA,NC&C,MA-L
4CA64D,"Cisco Systems, Inc",MA-L
402B69,Kumho Electric Inc.,MA-L
A40801,Amazon Technologies Inc.,MA-L
A8A097,ScioTeq bvba,MA-L
F47335,Logitech Far East,MA-L
90ADFC,"Telechips, Inc.",MA-L
BC1695,zte corporation,MA-L
A4CFD2,"Ubee Interactive Co., Limited",MA-L
E8E98E,SOLAR controls s.r.o.,MA-L
64F6BB,Fibocom Wireless Inc.,MA-L
5CA62D,"Cisco Systems, Inc",MA-L
EC97B2,"SUMEC Machinery & Electric Co.,Ltd.",MA-L
28FA7A,"Zhejiang Tmall Technology Co., Ltd.",MA-L
1005E1,Nokia,MA-L
BC542F,Intel Corporate,MA-L
842E14,Silicon Laboratories,MA-L
0020E1,ALAMAR ELECTRONICS,MA-L
08F458,"Huawei Device Co., Ltd.",MA-L
343794,Hamee Corp.,MA-L
D4DC09,"Mist Systems, Inc.",MA-L
4410FE,"Huizhou Foryou General Electronics Co., Ltd.",MA-L
EC316D,Hansgrohe,MA-L
CC7F75,"Cisco Systems, Inc",MA-L
20E874,"Apple, Inc.",MA-L
D03FAA,"Apple, Inc.",MA-L
7CAB60,"Apple, Inc.",MA-L
44C65D,"Apple, Inc.",MA-L
40EC99,Intel Corporate,MA-L
F4A4D6,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L
187EB9,"Apple, Inc.",MA-L
1C97C5,Ynomia Pty Ltd,MA-L
5CC1D7,"Samsung Electronics Co.,Ltd",MA-L
380146,SHENZHEN BILIAN ELECTRONIC CO.，LTD,MA-L
2C5741,"Cisco Systems, Inc",MA-L
B0B353,IEEE Registration Authority,MA-L
1C919D,"Dongguan Liesheng Electronic Co., Ltd.",MA-L
20114E,MeteRSit S.R.L.,MA-L
FCF29F,China Mobile Iot Limited company,MA-L
F81F32,"Motorola Mobility LLC, a Lenovo Company",MA-L
A87EEA,Intel Corporate,MA-L
B00AD5,zte corporation,MA-L
A84D4A,Audiowise Technology Inc.,MA-L
98006A,zte corporation,MA-L
7894E8,Radio Bridge,MA-L
547FBC,iodyne,MA-L
FCE14F,"BRK Brands, Inc.",MA-L
889655,Zitte corporation,MA-L
18300C,"Hisense Electric Co.,Ltd",MA-L
5C27D4,Shenzhen Qihu Intelligent Technology Company Limited,MA-L
74D83E,Intel Corporate,MA-L
88B6EE,Dish Technologies Corp,MA-L
5050A4,"Samsung Electronics Co.,Ltd",MA-L
08F8BC,"Apple, Inc.",MA-L
90A25B,"Apple, Inc.",MA-L
88A479,"Apple, Inc.",MA-L
047295,"Apple, Inc.",MA-L
D446E1,"Apple, Inc.",MA-L
141459,Vodafone Italia S.p.A.,MA-L
5043B9,OktoInform RUS,MA-L
88541F,"Google, Inc.",MA-L
900CC8,"Google, Inc.",MA-L
00104F,Oracle Corporation,MA-L
08D23E,Intel Corporate,MA-L
487B5E,SMT TELECOMM HK,MA-L
0025A9,"Shanghai Embedway Information Technologies Co.,Ltd",MA-L
68215F,Edgecore Networks Corporation,MA-L
3CBF60,"Apple, Inc.",MA-L
AC15F4,"Apple, Inc.",MA-L
78D162,"Apple, Inc.",MA-L
44C7FC,"Huawei Device Co., Ltd.",MA-L
7885F4,"Huawei Device Co., Ltd.",MA-L
8086D9,"Samsung Electronics Co.,Ltd",MA-L
386A77,"Samsung Electronics Co.,Ltd",MA-L
00B810,"Yichip Microelectronics (Hangzhou) Co.,Ltd",MA-L
A4B239,"Cisco Systems, Inc",MA-L
548D5A,Intel Corporate,MA-L
F44955,"MIMO TECH Co., Ltd.",MA-L
0809C7,"Zhuhai Unitech Power Technology Co., Ltd.",MA-L
58961D,Intel Corporate,MA-L
68AFFF,"Shanghai Cambricon Information Technology Co., Ltd.",MA-L
D01C3C,TECNO MOBILE LIMITED,MA-L
041DC7,zte corporation,MA-L
001A4D,"GIGA-BYTE TECHNOLOGY CO.,LTD.",MA-L
001FD0,"GIGA-BYTE TECHNOLOGY CO.,LTD.",MA-L
B89A2A,Intel Corporate,MA-L
DC21E2,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L
FC1BD1,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L
582575,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L
28DEE5,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L
18C04D,"GIGA-BYTE TECHNOLOGY CO.,LTD.",MA-L
402C76,IEEE Registration Authority,MA-L
80C955,"Redpine Signals, Inc.",MA-L
5C68D0,Aurora Innovation Inc.,MA-L
10364A,Boston Dynamics,MA-L
000BCC,"JUSAN, S.A.",MA-L
00E059,"CONTROLLED ENVIRONMENTS, LTD.",MA-L
0C8E29,Arcadyan Corporation,MA-L
A0224E,IEEE Registration Authority,MA-L
C49878,"SHANGHAI MOAAN INTELLIGENT TECHNOLOGY CO.,LTD",MA-L
000A23,Parama Networks Inc,MA-L
3843E5,Grotech Inc,MA-L
6C06D6,"Huawei Device Co., Ltd.",MA-L
18E777,"vivo Mobile Communication Co., Ltd.",MA-L
0C7A15,Intel Corporate,MA-L
94D6DB,NexFi,MA-L
78B46A,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L
6CEBB6,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L
4CF55B,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L
643139,IEEE Registration Authority,MA-L
A44BD5,Xiaomi Communications Co Ltd,MA-L
14876A,"Apple, Inc.",MA-L
E0B55F,"Apple, Inc.",MA-L
F8FFC2,"Apple, Inc.",MA-L
E0EB40,"Apple, Inc.",MA-L
4077A9,"New H3C Technologies Co., Ltd",MA-L
64694E,Texas Instruments,MA-L
F83331,Texas Instruments,MA-L
40A6B7,Intel Corporate,MA-L
B4ECF2,"Shanghai Listent Medical Tech Co., Ltd.",MA-L
C4954D,IEEE Registration Authority,MA-L
64956C,LG Electronics,MA-L
E83F67,"Huawei Device Co., Ltd.",MA-L
3446EC,"Huawei Device Co., Ltd.",MA-L
1CBFC0,"CHONGQING FUGUI ELECTRONICS CO.,LTD.",MA-L
801609,Sleep Number,MA-L
AC8B9C,"Primera Technology, Inc.",MA-L
1CC1BC,"Yichip Microelectronics (Hangzhou) Co.,Ltd",MA-L
2C3AFD,AVM Audiovisuelles Marketing und Computersysteme GmbH,MA-L
AC61B9,WAMA Technology Limited,MA-L
F855CD,Visteon Corporation,MA-L
441847,"HUNAN SCROWN ELECTRONIC INFORMATION TECH.CO.,LTD",MA-L
0030B7,"Teletrol Systems, Inc.",MA-L
C8F319,LG Electronics (Mobile Communications),MA-L
009096,ASKEY COMPUTER CORP,MA-L
2474F7,GoPro,MA-L
7CD566,Amazon Technologies Inc.,MA-L
686350,Hella India Automotive Pvt Ltd,MA-L
18703B,"Huawei Device Co., Ltd.",MA-L
442295,China Mobile Iot Limited company,MA-L
E85A8B,Xiaomi Communications Co Ltd,MA-L
80751F,SKY UK LIMITED,MA-L
D89E61,"Huawei Device Co., Ltd.",MA-L
347E00,"Huawei Device Co., Ltd.",MA-L
5CE50C,"Beijing Xiaomi Mobile Software Co., Ltd",MA-L
5C710D,"Cisco Systems, Inc",MA-L
98AF65,Intel Corporate,MA-L
F8893C,Inventec Appliances Corp.,MA-L
749EF5,"Samsung Electronics Co.,Ltd",MA-L
68BFC4,"Samsung Electronics Co.,Ltd",MA-L
B82ADC,EFR Europäische Funk-Rundsteuerung GmbH,MA-L
A0DF15,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L
C4AD34,Routerboard.com,MA-L
000733,DANCONTROL Engineering,MA-L
A85E45,ASUSTek COMPUTER INC.,MA-L
64C901,INVENTEC Corporation,MA-L
B43939,Shenzhen TINNO Mobile Technology Corp.,MA-L
5CCD5B,Intel Corporate,MA-L
84C807,ADVA Optical Networking Ltd.,MA-L
10B3C6,"Cisco Systems, Inc",MA-L
10B3D6,"Cisco Systems, Inc",MA-L
A0AB51,"WEIFANG GOERTEK ELECTRONICS CO.,LTD",MA-L
04B1A1,"Samsung Electronics Co.,Ltd",MA-L
CC464E,"Samsung Electronics Co.,Ltd",MA-L
306F07,Nations Technologies Inc.,MA-L
3C894D,Dr. Ing. h.c. F. Porsche AG,MA-L
F854B8,Amazon Technologies Inc.,MA-L
781735,"Nokia Shanghai Bell Co., Ltd.",MA-L
9CFFC2,AVI Systems GmbH,MA-L
44D878,"Hui Zhou Gaoshengda Technology Co.,LTD",MA-L
7897C3,"DINGXIN INFORMATION TECHNOLOGY CO.,LTD",MA-L
F4D620,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",MA-L
949034,"SHENZHEN CHUANGWEI-RGB ELECTRONICS CO.,LTD",MA-L
3C8F06,"Shenzhen Libtor Technology Co.,Ltd",MA-L
987A10,Ericsson AB,MA-L
202681,TECNO MOBILE LIMITED,MA-L
A0D807,"Huawei Device Co., Ltd.",MA-L
2C780E,"Huawei Device Co., Ltd.",MA-L
34B20A,"Huawei Device Co., Ltd.",MA-L
98F4AB,Espressif Inc.,MA-L
D8BFC0,Espressif Inc.,MA-L
B00875,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L
64FB92,PPC Broadband Inc.,MA-L
141346,"Skyworth Digital Technology(Shenzhen) Co.,Ltd",MA-L
542BDE,"New H3C Technologies Co., Ltd",MA-L
4C90DB,JL Audio,MA-L
8CF112,"Motorola Mobility LLC, a Lenovo Company",MA-L
B899AE,"Shenzhen MiaoMing  Intelligent Technology Co.,Ltd",MA-L
E8D0B9,Taicang T&W Electronics,MA-L
5885A2,Realme Chongqing MobileTelecommunications Corp Ltd,MA-L
A8C0EA,Pepwave Limited,MA-L
44AEAB,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",MA-L
A4F05E,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",MA-L
00071C,AT&T,MA-L
847637,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L
FC9435,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L
E02481,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L
2CF89B,"Cisco Systems, Inc",MA-L
80B07B,zte corporation,MA-L
C85A9F,zte corporation,MA-L
001DDF,"Sunitec Enterprise Co.,Ltd",MA-L
8C0FFA,"Hutec co.,ltd",MA-L
ACFE05,ITEL MOBILE LIMITED,MA-L
BCC31B,Kygo Life A,MA-L
64DF10,JingLue Semiconductor(SH) Ltd.,MA-L
100177,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L
44A191,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L
24526A,"Zhejiang Dahua Technology Co., Ltd.",MA-L
20DFB9,"Google, Inc.",MA-L
5CCAD3,CHIPSEA TECHNOLOGIES (SHENZHEN) CORP.,MA-L
782A79,Integrated Device Technology (Malaysia) Sdn. Bhd.,MA-L
50D2F5,"Beijing Xiaomi Mobile Software Co., Ltd",MA-L
1C687E,Shenzhen Qihu Intelligent Technology Company Limited,MA-L
C03656,"Fiberhome Telecommunication Technologies Co.,LTD",MA-L
B03E51,SKY UK LIMITED,MA-L
28167F,Xiaomi Communications Co Ltd,MA-L
087190,Intel Corporate,MA-L
5CE883,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L
6023A4,"Sichuan AI-Link Technology Co., Ltd.",MA-L
A4530E,"Cisco Systems, Inc",MA-L
00403A,IMPACT TECHNOLOGIES,MA-L
C8B1CD,"Apple, Inc.",MA-L
1460CB,"Apple, Inc.",MA-L
B8F12A,"Apple, Inc.",MA-L
F887F1,"Apple, Inc.",MA-L
60447A,Water-i.d. GmbH,MA-L
807215,SKY UK LIMITED,MA-L
74D637,Amazon Technologies Inc.,MA-L
7484E1,"Dongguan Haoyuan Electronics Co.,Ltd",MA-L
4074E0,Intel Corporate,MA-L
D05F64,IEEE Registration Authority,MA-L
44FB5A,zte corporation,MA-L
C463FB,Neatframe AS,MA-L
305714,"Apple, Inc.",MA-L
04A222,Arcadyan Corporation,MA-L
04AB6A,"Chun-il Co.,Ltd.",MA-L
0035FF,Texas Instruments,MA-L
DC54D7,Amazon Technologies Inc.,MA-L
28FE65,"DongGuan Siyoto Electronics Co., Ltd",MA-L
1806F5,"RAD Data Communications, Ltd.",MA-L
889FAA,Hella Gutmann Solutions GmbH,MA-L
04C807,Xiaomi Communications Co Ltd,MA-L
4459E3,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L
683F1E,EFFECT Photonics B.V.,MA-L
44D3CA,"Cisco Systems, Inc",MA-L
840B7C,Hitron Technologies. Inc,MA-L
48A73C,"Sichuan tianyi kanghe communications co., LTD",MA-L
F8A763,"Zhejiang Tmall Technology Co., Ltd.",MA-L
6C2990,WiZ Connected Lighting Company Limited,MA-L
9835ED,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L
807693,Newag SA,MA-L
BC9740,IEEE Registration Authority,MA-L
084F0A,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L
A8494D,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L
44004D,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L
20968A,"China Mobile (Hangzhou) Information Technology Co., Ltd.",MA-L
8C1850,"China Mobile (Hangzhou) Information Technology Co., Ltd.",MA-L
D8D4E6,"Hytec Inter Co., Ltd.",MA-L
F8E7A0,"vivo Mobile Communication Co., Ltd.",MA-L
2CFFEE,"vivo Mobile Communication Co., Ltd.",MA-L
C85D38,"HUMAX Co., Ltd.",MA-L
18CF24,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L
50F8A5,"eWBM Co., Ltd.",MA-L
D89B3B,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L
88403B,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L
FC8743,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L
04885F,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L
C850CE,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L
000BE4,Hosiden Corporation,MA-L
4413D0,zte corporation,MA-L
1449BC,DrayTek Corp.,MA-L
20F478,Xiaomi Communications Co Ltd,MA-L
7438B7,CANON INC.,MA-L
90735A,"Motorola Mobility LLC, a Lenovo Company",MA-L
0004DF,TERACOM TELEMATICA S.A,MA-L
18B6F7,NEW POS TECHNOLOGY LIMITED,MA-L
1C8259,IEEE Registration Authority,MA-L
00FA21,"Samsung Electronics Co.,Ltd",MA-L
7C2302,"Samsung Electronics Co.,Ltd",MA-L
6CAB05,"Cisco Systems, Inc",MA-L
5CB15F,Oceanblue Cloud Technology Limited,MA-L
485DEB,Just Add Power,MA-L
501395,"Sichuan AI-Link Technology Co., Ltd.",MA-L
18D9EF,Shuttle Inc.,MA-L
88DA33,"Beijing Xiaoyuer Network Technology Co., Ltd",MA-L
84C78F,APS Networks GmbH,MA-L
C09FE1,zte corporation,MA-L
18AACA,"Sichuan tianyi kanghe communications co., LTD",MA-L
D49DC0,"Samsung Electronics Co.,Ltd",MA-L
D0196A,Ciena Corporation,MA-L
84FDD1,Intel Corporate,MA-L
B0700D,Nokia,MA-L
002175,Pacific Satellite International Ltd.,MA-L
346B5B,"New H3C Technologies Co., Ltd",MA-L
84E892,"Actiontec Electronics, Inc",MA-L
78E2BD,Vodafone Automotive S.p.A.,MA-L
F848FD,"China Mobile Group Device Co.,Ltd.",MA-L
80DABC,Megafone Limited,MA-L
20DA22,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L
184644,Home Control Singapore Pte Ltd,MA-L
C821DA,"Shenzhen YOUHUA Technology Co., Ltd",MA-L
20658E,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L
183D5E,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L
889746,"Sichuan AI-Link Technology Co., Ltd.",MA-L
1CDE57,"Fiberhome Telecommunication Technologies Co.,LTD",MA-L
E0DCFF,Xiaomi Communications Co Ltd,MA-L
00778D,"Cisco Systems, Inc",MA-L
000E8C,Siemens AG,MA-L
008764,"Cisco Systems, Inc",MA-L
846FCE,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",MA-L
B0E71D,"Shanghai Maigantech Co.,Ltd",MA-L
C468D0,VTech Telecommunications Ltd.,MA-L
14AEDB,VTech Telecommunications Ltd.,MA-L
78DB2F,Texas Instruments,MA-L
E0B655,"Beijing Xiaomi Electronics Co., Ltd.",MA-L
8C0FA0,di-soric GmbH & Co. KG,MA-L
DCFB48,Intel Corporate,MA-L
DC7137,zte corporation,MA-L
847C9B,"GD Midea Air-Conditioning Equipment Co.,Ltd.",MA-L
3441A8,ER-Telecom,MA-L
7440BE,LG Innotek,MA-L
A4CF12,Espressif Inc.,MA-L
FCB662,IC Holdings LLC,MA-L
04D4C4,ASUSTek COMPUTER INC.,MA-L
A0510B,Intel Corporate,MA-L
7488BB,"Cisco Systems, Inc",MA-L
A8E2C3,"Shenzhen YOUHUA Technology Co., Ltd",MA-L
0CA06C,Industrial Cyber Sensing Inc.,MA-L
FCD2B6,IEEE Registration Authority,MA-L
804A14,"Apple, Inc.",MA-L
703C69,"Apple, Inc.",MA-L
AC2DA9,TECNO MOBILE LIMITED,MA-L
40A93F,"Pivotal Commware, Inc.",MA-L
4C6AF6,HMD Global Oy,MA-L
489DD1,"Samsung Electronics Co.,Ltd",MA-L
C08C71,"Motorola Mobility LLC, a Lenovo Company",MA-L
48049F,"ELECOM CO., LTD",MA-L
087F98,"vivo Mobile Communication Co., Ltd.",MA-L
C04121,Nokia Solutions and Networks GmbH & Co. KG,MA-L
F46F4E,Echowell,MA-L
B06FE0,"Samsung Electronics Co.,Ltd",MA-L
44B994,Douglas Lighting Controls,MA-L
2479F8,KUPSON spol. s r.o.,MA-L
70BF92,GN Audio A/S,MA-L
ACBB61,"YSTen Technology Co.,Ltd",MA-L
342003,"Shenzhen Feitengyun Technology Co.,LTD",MA-L
7CFD82,"GUANGDONG GENIUS TECHNOLOGY CO., LTD.",MA-L
002F5C,"Cisco Systems, Inc",MA-L
F4645D,Toshiba,MA-L
F07D68,D-Link Corporation,MA-L
EC4118,"XIAOMI Electronics,CO.,LTD",MA-L
D8860B,IEEE Registration Authority,MA-L
08ECF5,"Cisco Systems, Inc",MA-L
D07650,IEEE Registration Authority,MA-L
60D0A9,"Samsung Electronics Co.,Ltd",MA-L
88CEFA,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L
002706,YOISYS,MA-L
042DB4,"First Property (Beijing) Co., Ltd Modern MOMA Branch",MA-L
38F85E,"HUMAX Co., Ltd.",MA-L
C464B7,"Fiberhome Telecommunication Technologies Co.,LTD",MA-L
04E0B0,"Shenzhen YOUHUA Technology Co., Ltd",MA-L
38B19E,IEEE Registration Authority,MA-L
38E26E,"ShenZhen Sweet Rain Electronics Co.,Ltd.",MA-L
70C9C6,"Cisco Systems, Inc",MA-L
689A87,Amazon Technologies Inc.,MA-L
64AE88,Polytec GmbH,MA-L
00D050,Iskratel d.o.o.,MA-L
78DAA2,"Cynosure Technologies Co.,Ltd",MA-L
8084A9,oshkosh Corporation,MA-L
180D2C,Intelbras,MA-L
98DAC4,"TP-LINK TECHNOLOGIES CO.,LTD.",MA-L
00177B,Azalea Networks inc,MA-L
502B98,Es-tech International,MA-L
C82832,"Beijing Xiaomi Electronics Co., Ltd.",MA-L
701BFB,Integrated Device Technology (Malaysia) Sdn. Bhd.,MA-L
04766E,"ALPSALPINE CO,.LTD",MA-L
AC7A4D,"ALPSALPINE CO,.LTD",MA-L
38C096,"ALPSALPINE CO,.LTD",MA-L
C4346B,Hewlett Packard,MA-L
48F17F,Intel Corporate,MA-L
002643,"ALPSALPINE CO,.LTD",MA-L
1C3477,Innovation Wireless,MA-L
4CC7D6,"FLEXTRONICS MANUFACTURING(ZHUHAI)CO.,LTD.",MA-L
C80873,Ruckus Wireless,MA-L
001697,NEC Corporation,MA-L
003013,NEC Corporation,MA-L
BC3E07,Hitron Technologies. Inc,MA-L
48FDA3,Xiaomi Communications Co Ltd,MA-L
90869B,zte corporation,MA-L
E0189F,EM Microelectronic,MA-L
F81308,Nokia,MA-L
F8A2D6,Liteon Technology Corporation,MA-L
049DFE,Hivesystem,MA-L
D05157,LEAX Arkivator Telecom,MA-L
FCBE7B,"vivo Mobile Communication Co., Ltd.",MA-L
B40FB3,"vivo Mobile Communication Co., Ltd.",MA-L
EC5C68,"CHONGQING FUGUI ELECTRONICS CO.,LTD.",MA-L
9458CB,"Nintendo Co.,Ltd",MA-L
74366D,Vodafone Italia S.p.A.,MA-L
182A44,HIROSE ELECTRONIC SYSTEM,MA-L
FC94CE,zte corporation,MA-L
0CEC84,Shenzhen TINNO Mobile Technology Corp.,MA-L
9CDB07,Yellowtec GmbH,MA-L
28EC9A,Texas Instruments,MA-L
C4E506,"Piper Networks, Inc.",MA-L
0CD0F8,"Cisco Systems, Inc",MA-L
DCDA80,"New H3C Technologies Co., Ltd",MA-L
B8259A,Thalmic Labs,MA-L
F80F6F,"Cisco Systems, Inc",MA-L
0080E3,CORAL NETWORK CORPORATION,MA-L
D8F2CA,Intel Corporate,MA-L
B4C62E,Molex CMS,MA-L
282536,"SHENZHEN HOLATEK CO.,LTD",MA-L
B8A175,"Roku, Inc.",MA-L
CCD3C1,Vestel Elektronik San ve Tic. A.S.,MA-L
A42655,"LTI Motion (Shanghai) Co., Ltd.",MA-L
60A730,"Shenzhen Yipinfang Internet Technology Co.,Ltd",MA-L
3C9BD6,"Vizio, Inc",MA-L
50DB3F,"SHENZHEN GONGJIN ELECTRONICS CO.,LT",MA-L
1081B4,"Hunan Greatwall Galaxy Science and Technology Co.,Ltd.",MA-L
3881D7,Texas Instruments,MA-L
1804ED,Texas Instruments,MA-L
D43260,GoPro,MA-L
F4DD9E,GoPro,MA-L
D4D919,GoPro,MA-L
CC7286,"Xi'an Fengyu Information Technology Co., Ltd.",MA-L
6CA928,HMD Global Oy,MA-L
00D861,"Micro-Star INTL CO., LTD.",MA-L
74C17D,Infinix mobility limited,MA-L
141114,TECNO MOBILE LIMITED,MA-L
00B8B3,"Cisco Systems, Inc",MA-L
745F90,LAM Technologies,MA-L
F85B9C,"SB SYSTEMS Co.,Ltd",MA-L
004279,"Sunitec Enterprise Co.,Ltd",MA-L
A45046,Xiaomi Communications Co Ltd,MA-L
F8501C,"Tianjin Geneuo Technology Co.,Ltd",MA-L
70D313,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L
9C1D36,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L
CCBBFE,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L
44070B,"Google, Inc.",MA-L
ECF6BD,SNCF MOBILITÉS,MA-L
B831B5,Microsoft Corporation,MA-L
007C2D,"Samsung Electronics Co.,Ltd",MA-L
C84782,Areson Technology Corp.,MA-L
E89363,Nokia,MA-L
7C0CF6,"Guangdong Huiwei High-tech Co., Ltd.",MA-L
5029F5,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",MA-L
300A60,IEEE Registration Authority,MA-L
80D065,CKS Corporation,MA-L
00D6FE,"Cisco Systems, Inc",MA-L
0CBF74,Morse Micro,MA-L
B41D2B,"Shenzhen YOUHUA Technology Co., Ltd",MA-L
14C213,"Apple, Inc.",MA-L
FC8F7D,"SHENZHEN GONGJIN ELECTRONICS CO.,LT",MA-L
24BE18,DADOUTEK COMPANY LIMITED,MA-L
749D79,Sercomm Corporation.,MA-L
A4D931,"Apple, Inc.",MA-L
BCFED9,"Apple, Inc.",MA-L
808223,"Apple, Inc.",MA-L
CC08FB,"TP-LINK TECHNOLOGIES CO.,LTD.",MA-L
BCAF91,TE Connectivity Sensor Solutions,MA-L
283166,"vivo Mobile Communication Co., Ltd.",MA-L
C04004,Medicaroid Corporation,MA-L
A4ED43,IEEE Registration Authority,MA-L
94298D,"Shanghai AdaptComm Technology Co., Ltd.",MA-L
00AA6E,"Cisco Systems, Inc",MA-L
F0D7DC,"Wesine (Wuhan) Technology Co., Ltd.",MA-L
007204,"Samsung Electronics Co., Ltd. ARTIK",MA-L
40C81F,"Shenzhen Xinguodu Technology Co., Ltd.",MA-L
0C7C28,Nokia Solutions and Networks GmbH & Co. KG,MA-L
6843D7,Agilecom Photonics Solutions Guangdong Limited,MA-L
B86A97,Edgecore Networks Corporation,MA-L
A81087,Texas Instruments,MA-L
8C8F8B,China Mobile Chongqing branch,MA-L
00040B,3COM EUROPE LTD,MA-L
C8C2F5,"FLEXTRONICS MANUFACTURING(ZHUHAI)CO.,LTD.",MA-L
F05849,CareView Communications,MA-L
8CFE74,Ruckus Wireless,MA-L
604BAA,"Magic Leap, Inc.",MA-L
E43493,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L
342912,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L
48A472,Intel Corporate,MA-L
000A5E,3COM,MA-L
00105A,3COM,MA-L
006097,3COM,MA-L
006008,3COM,MA-L
000102,3COM,MA-L
A02833,IEEE Registration Authority,MA-L
001B6E,"Keysight Technologies, Inc.",MA-L
143719,PT Prakarsa Visi Valutama,MA-L
582F40,"Nintendo Co.,Ltd",MA-L
0890BA,Danlaw Inc,MA-L
