consulta,horario_dvr,canal,resolvido,gravacao_encontrada,ultima_gravacao,atraso_segundos,has_more
6,2026-09-18T08:01:09-03:00,10,True,True,2026-09-18T08:00:09Z,60.0,False
6,2026-09-18T08:01:09-03:00,11,True,True,2026-09-18T08:01:09Z,0.0,False
6,2026-09-18T08:01:09-03:00,12,True,True,2026-09-18T08:00:09Z,60.0,False
6,2026-09-18T08:01:09-03:00,13,True,False,,,False
6,2026-09-18T08:01:09-03:00,14,True,False,,,False
6,2026-09-18T08:01:09-03:00,15,True,False,,,False
6,2026-09-18T08:01:09-03:00,16,True,False,,,False
7,2026-09-18T08:02:12-03:00,1,True,True,2026-09-18T08:02:12Z,0.0,False
7,2026-09-18T08:02:12-03:00,2,True,True,2026-09-18T08:01:09Z,63.0,False
7,2026-09-18T08:02:12-03:00,3,True,True,2026-09-18T08:01:10Z,62.0,False
7,2026-09-18T08:02:12-03:00,4,True,True,2026-09-18T08:02:11Z,1.0,False
7,2026-09-18T08:02:12-03:00,5,True,True,2026-09-18T08:01:10Z,62.0,False
7,2026-09-18T08:02:12-03:00,6,True,True,2026-09-18T08:02:12Z,0.0,False
7,2026-09-18T08:02:12-03:00,7,True,True,2026-09-18T08:02:12Z,0.0,False
7,2026-09-18T08:02:12-03:00,8,True,True,2026-09-18T08:01:10Z,62.0,False
7,2026-09-18T08:02:12-03:00,9,True,True,2026-09-18T08:02:12Z,0.0,False
7,2026-09-18T08:02:12-03:00,10,True,True,2026-09-18T08:01:10Z,62.0,False
7,2026-09-18T08:02:12-03:00,11,True,True,2026-09-18T08:01:11Z,61.0,False
7,2026-09-18T08:02:12-03:00,12,True,True,2026-09-18T08:01:11Z,61.0,False
7,2026-09-18T08:02:12-03:00,13,True,False,,,False
7,2026-09-18T08:02:12-03:00,14,True,False,,,False
7,2026-09-18T08:02:12-03:00,15,True,False,,,False
7,2026-09-18T08:02:12-03:00,16,True,False,,,False
8,2026-09-18T08:03:14-03:00,1,True,True,2026-09-18T08:02:12Z,62.0,False
8,2026-09-18T08:03:14-03:00,2,True,True,2026-09-18T08:02:11Z,63.0,False
8,2026-09-18T08:03:14-03:00,3,True,True,2026-09-18T08:02:12Z,62.0,False
8,2026-09-18T08:03:14-03:00,4,True,True,2026-09-18T08:02:11Z,63.0,False
8,2026-09-18T08:03:14-03:00,5,True,True,2026-09-18T08:02:12Z,62.0,False
8,2026-09-18T08:03:14-03:00,6,True,True,2026-09-18T08:02:12Z,62.0,False
8,2026-09-18T08:03:14-03:00,7,True,True,2026-09-18T08:02:12Z,62.0,False
8,2026-09-18T08:03:14-03:00,8,True,True,2026-09-18T08:03:14Z,0.0,False
8,2026-09-18T08:03:14-03:00,9,True,True,2026-09-18T08:02:13Z,61.0,False
8,2026-09-18T08:03:14-03:00,10,True,True,2026-09-18T08:02:12Z,62.0,False
8,2026-09-18T08:03:14-03:00,11,True,True,2026-09-18T08:03:14Z,0.0,False
8,2026-09-18T08:03:14-03:00,12,True,True,2026-09-18T08:02:13Z,61.0,False
8,2026-09-18T08:03:14-03:00,13,True,False,,,False
8,2026-09-18T08:03:14-03:00,14,True,False,,,False
8,2026-09-18T08:03:14-03:00,15,True,False,,,False
